"","Year","Diagnoses/Case","Estimate","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"59",2013,"Upper Bound","Undiagnosed Fraction (%)",16.2,16.4,16.5,16.5,16.7,16.8
"21",2013,"Upper Bound using Stage","Undiagnosed Cases",436.1,441.1,446.3,446.2,451.4,456.3
"41",2013,"Upper Bound using Stage","True Prevalence",2692.4,2697.4,2702.6,2702.5,2707.7,2712.6
"61",2013,"Upper Bound using Stage","Undiagnosed Fraction (%)",16.2,16.4,16.5,16.5,16.7,16.8
"5",2014,"PLWHA","PLWHA",NA,NA,NA,2306.2,NA,NA
"22",2014,"Base Case","Undiagnosed Cases",216,218.3,222.5,222.9,227,230.4
"42",2014,"Base Case","True Prevalence",2522.2,2524.5,2528.7,2529.1,2533.2,2536.6
"62",2014,"Base Case","Undiagnosed Fraction (%)",8.6,8.6,8.8,8.8,9,9.1
"23",2014,"Base Case using Stage","Undiagnosed Cases",216,218.3,222.5,222.9,227,230.4
"43",2014,"Base Case using Stage","True Prevalence",2522.2,2524.5,2528.7,2529.1,2533.2,2536.6
"63",2014,"Base Case using Stage","Undiagnosed Fraction (%)",8.6,8.6,8.8,8.8,9,9.1
"24",2014,"Upper Bound","Undiagnosed Cases",413.9,416.8,421.7,422.2,427.1,431.6
"44",2014,"Upper Bound","True Prevalence",2720.1,2723,2727.8,2728.3,2733.2,2737.8
"64",2014,"Upper Bound","Undiagnosed Fraction (%)",15.2,15.3,15.5,15.5,15.6,15.8
"25",2014,"Upper Bound using Stage","Undiagnosed Cases",413.9,416.8,421.7,422.2,427.1,431.6
"45",2014,"Upper Bound using Stage","True Prevalence",2720.1,2723,2727.8,2728.3,2733.2,2737.8
"65",2014,"Upper Bound using Stage","Undiagnosed Fraction (%)",15.2,15.3,15.5,15.5,15.6,15.8
