"","Year","Diagnoses/Case","Estimate","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"15",2012,"Base Case","Undiagnosed Cases",561.7,563.6,567,569.6,573,582.6
"35",2012,"Base Case","True Prevalence",3536.7,3538.6,3542,3544.6,3548,3557.6
"55",2012,"Base Case","Undiagnosed Fraction (%)",15.9,15.9,16,16.1,16.1,16.4
"16",2012,"Base Case using Stage","Undiagnosed Cases",561.7,563.6,567,569.6,573,582.6
"36",2012,"Base Case using Stage","True Prevalence",3536.7,3538.6,3542,3544.6,3548,3557.6
"56",2012,"Base Case using Stage","Undiagnosed Fraction (%)",15.9,15.9,16,16.1,16.1,16.4
"14",2012,"Upper Bound","Undiagnosed Cases",1075,1077,1081,1084,1088,1099
"34",2012,"Upper Bound","True Prevalence",4050,4052,4056,4059,4063,4074
"54",2012,"Upper Bound","Undiagnosed Fraction (%)",26.5,26.6,26.7,26.7,26.8,27
"17",2012,"Upper Bound using Stage","Undiagnosed Cases",1075,1077,1081,1084,1088,1099
"37",2012,"Upper Bound using Stage","True Prevalence",4050,4052,4056,4059,4063,4074
"57",2012,"Upper Bound using Stage","Undiagnosed Fraction (%)",26.5,26.6,26.7,26.7,26.8,27
"4",2013,"PLWHA","PLWHA",NA,NA,NA,3070,NA,NA
"20",2013,"Base Case","Undiagnosed Cases",554.6,555.8,558.7,559.3,562.2,565.4
"40",2013,"Base Case","True Prevalence",3624.6,3625.8,3628.7,3629.3,3632.2,3635.4
"60",2013,"Base Case","Undiagnosed Fraction (%)",15.3,15.3,15.4,15.4,15.5,15.6
"18",2013,"Base Case using Stage","Undiagnosed Cases",554.6,555.8,558.7,559.3,562.2,565.4
"38",2013,"Base Case using Stage","True Prevalence",3624.6,3625.8,3628.7,3629.3,3632.2,3635.4
"58",2013,"Base Case using Stage","Undiagnosed Fraction (%)",15.3,15.3,15.4,15.4,15.5,15.6
"19",2013,"Upper Bound","Undiagnosed Cases",1068,1069,1071,1072,1075,1079
"39",2013,"Upper Bound","True Prevalence",4138,4139,4141,4142,4145,4149
"59",2013,"Upper Bound","Undiagnosed Fraction (%)",25.8,25.8,25.9,25.9,25.9,26
"21",2013,"Upper Bound using Stage","Undiagnosed Cases",1068,1069,1071,1072,1075,1079
"41",2013,"Upper Bound using Stage","True Prevalence",4138,4139,4141,4142,4145,4149
"61",2013,"Upper Bound using Stage","Undiagnosed Fraction (%)",25.8,25.8,25.9,25.9,25.9,26
"5",2014,"PLWHA","PLWHA",NA,NA,NA,3172.8,NA,NA
"22",2014,"Base Case","Undiagnosed Cases",544.4,548,552.9,551.8,556.6,557
"42",2014,"Base Case","True Prevalence",3717.2,3720.8,3725.7,3724.6,3729.3,3729.8
"62",2014,"Base Case","Undiagnosed Fraction (%)",14.6,14.7,14.8,14.8,14.9,14.9
"23",2014,"Base Case using Stage","Undiagnosed Cases",544.4,548,552.9,551.8,556.6,557
"43",2014,"Base Case using Stage","True Prevalence",3717.2,3720.8,3725.7,3724.6,3729.3,3729.8
"63",2014,"Base Case using Stage","Undiagnosed Fraction (%)",14.6,14.7,14.8,14.8,14.9,14.9
"24",2014,"Upper Bound","Undiagnosed Cases",1055,1059,1064,1063,1069,1070
"44",2014,"Upper Bound","True Prevalence",4227.8,4231.8,4236.8,4235.8,4241.8,4242.8
"64",2014,"Upper Bound","Undiagnosed Fraction (%)",25,25,25.1,25.1,25.2,25.2
"25",2014,"Upper Bound using Stage","Undiagnosed Cases",1055,1059,1064,1063,1069,1070
"45",2014,"Upper Bound using Stage","True Prevalence",4227.8,4231.8,4236.8,4235.8,4241.8,4242.8
"65",2014,"Upper Bound using Stage","Undiagnosed Fraction (%)",25,25,25.1,25.1,25.2,25.2
