"","Year","Diagnoses/Case","Estimate","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"36",2012,"Base Case using Stage","True Prevalence",2236,2237.2,2238.2,2238.5,2239.5,2241.5
"56",2012,"Base Case using Stage","Undiagnosed Fraction (%)",0.8,0.9,0.9,0.9,1,1
"14",2012,"Upper Bound","Undiagnosed Cases",130.8,133.4,136.4,135.9,138.9,139.9
"34",2012,"Upper Bound","True Prevalence",2349,2351.6,2354.6,2354.1,2357.1,2358.1
"54",2012,"Upper Bound","Undiagnosed Fraction (%)",5.6,5.7,5.8,5.8,5.9,5.9
"17",2012,"Upper Bound using Stage","Undiagnosed Cases",29.3,30.9,32.2,33,34.4,38.4
"37",2012,"Upper Bound using Stage","True Prevalence",2247.5,2249,2250.4,2251.2,2252.6,2256.6
"57",2012,"Upper Bound using Stage","Undiagnosed Fraction (%)",1.3,1.4,1.4,1.5,1.5,1.7
"4",2013,"PLWHA","PLWHA",NA,NA,NA,2256.3,NA,NA
"20",2013,"Base Case","Undiagnosed Cases",57.1,59.7,63.3,64.1,67.7,72.7
"40",2013,"Base Case","True Prevalence",2313.4,2316,2319.6,2320.4,2324,2329
"60",2013,"Base Case","Undiagnosed Fraction (%)",2.5,2.6,2.7,2.8,2.9,3.1
"18",2013,"Base Case using Stage","Undiagnosed Cases",11,12.3,14.6,15.4,17.6,21.3
"38",2013,"Base Case using Stage","True Prevalence",2267.3,2268.6,2270.9,2271.7,2273.9,2277.6
"58",2013,"Base Case using Stage","Undiagnosed Fraction (%)",0.5,0.5,0.6,0.7,0.8,0.9
"19",2013,"Upper Bound","Undiagnosed Cases",101.7,106.5,111.9,113,118.4,126.4
"39",2013,"Upper Bound","True Prevalence",2358,2362.8,2368.2,2369.3,2374.7,2382.7
"59",2013,"Upper Bound","Undiagnosed Fraction (%)",4.3,4.5,4.7,4.8,5,5.3
"21",2013,"Upper Bound using Stage","Undiagnosed Cases",15.4,19.1,21.9,22.9,25.7,32.5
"41",2013,"Upper Bound using Stage","True Prevalence",2271.8,2275.4,2278.2,2279.2,2282,2288.8
"61",2013,"Upper Bound using Stage","Undiagnosed Fraction (%)",0.7,0.8,1,1,1.1,1.4
"5",2014,"PLWHA","PLWHA",NA,NA,NA,2306.2,NA,NA
"22",2014,"Base Case","Undiagnosed Cases",44.4,46.8,49.2,49,51.2,53.3
"42",2014,"Base Case","True Prevalence",2350.5,2352.9,2355.3,2355.1,2357.4,2359.5
"62",2014,"Base Case","Undiagnosed Fraction (%)",1.9,2,2.1,2.1,2.2,2.3
"23",2014,"Base Case using Stage","Undiagnosed Cases",3.4,5.9,8.3,7.4,9.4,10.5
"43",2014,"Base Case using Stage","True Prevalence",2309.5,2312,2314.5,2313.6,2315.6,2316.6
"63",2014,"Base Case using Stage","Undiagnosed Fraction (%)",0.1,0.3,0.4,0.3,0.4,0.5
"24",2014,"Upper Bound","Undiagnosed Cases",85.4,87.3,89.3,90.3,92.8,96.2
"44",2014,"Upper Bound","True Prevalence",2391.5,2393.5,2395.4,2396.5,2398.9,2402.4
"64",2014,"Upper Bound","Undiagnosed Fraction (%)",3.6,3.6,3.7,3.8,3.9,4
"25",2014,"Upper Bound using Stage","Undiagnosed Cases",6.9,8.1,9.3,11.4,13.7,18.1
"45",2014,"Upper Bound using Stage","True Prevalence",2313.1,2314.2,2315.4,2317.6,2319.8,2324.2
"65",2014,"Upper Bound using Stage","Undiagnosed Fraction (%)",0.3,0.3,0.4,0.5,0.6,0.8
